"","YearWeekISO","FirstDose","FirstDoseRefused","SecondDose","UnknownDose","NumberDosesReceived","Region","Population","ReportingCountry","TargetGroup","Vaccine","Denominator"
"1","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","MOD",2259262
"2","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"3","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","AZ",2259262
"4","2020-W53",2666,0,0,0,61425,"AT",8901064,"AT","1_Age60+","COM",2259262
"5","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","AZ",5099181
"6","2020-W53",2392,0,0,0,61425,"AT",8901064,"AT","1_Age<60","COM",5099181
"7","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"8","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","MOD",5099181
"9","2020-W53",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"10","2020-W53",5058,0,0,0,61425,"AT",8901064,"AT","ALL","COM",7358443
"11","2020-W53",0,0,0,0,0,"AT",8901064,"AT","ALL","AZ",7358443
"12","2020-W53",0,0,0,0,0,"AT",8901064,"AT","ALL","MOD",7358443
"13","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age18_24","MOD",696064
"14","2020-W53",111,0,0,0,61425,"AT",8901064,"AT","Age18_24","COM",696064
"15","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"16","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age18_24","AZ",696064
"17","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"18","2020-W53",1287,0,0,0,61425,"AT",8901064,"AT","Age25_49","COM",3006228
"19","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age25_49","AZ",3006228
"20","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age25_49","MOD",3006228
"21","2020-W53",987,0,0,0,61425,"AT",8901064,"AT","Age50_59","COM",1396889
"22","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age50_59","AZ",1396889
"23","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"24","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age50_59","MOD",1396889
