"","YearWeekISO","FirstDose","FirstDoseRefused","SecondDose","UnknownDose","NumberDosesReceived","Region","Population","ReportingCountry","TargetGroup","Vaccine","Denominator"
"1","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","AZ",2259262
"2","2020-W53",2659,0,0,0,61425,"AT",8901064,"AT","1_Age60+","COM",2259262
"3","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"4","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","MOD",2259262
"5","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","AZ",5099181
"6","2020-W53",2367,0,0,0,61425,"AT",8901064,"AT","1_Age<60","COM",5099181
"7","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"8","2020-W53",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","MOD",5099181
"9","2020-W53",0,0,0,0,0,"AT",8901064,"AT","ALL","AZ",7358443
"10","2020-W53",0,0,0,0,0,"AT",8901064,"AT","ALL","MOD",7358443
"11","2020-W53",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"12","2020-W53",5026,0,0,0,61425,"AT",8901064,"AT","ALL","COM",7358443
"13","2020-W53",110,0,0,0,61425,"AT",8901064,"AT","Age18_24","COM",696064
"14","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age18_24","AZ",696064
"15","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age18_24","MOD",696064
"16","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"17","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age25_49","AZ",3006228
"18","2020-W53",1276,0,0,0,61425,"AT",8901064,"AT","Age25_49","COM",3006228
"19","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"20","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age25_49","MOD",3006228
"21","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"22","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age50_59","MOD",1396889
"23","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age50_59","AZ",1396889
"24","2020-W53",976,0,0,0,61425,"AT",8901064,"AT","Age50_59","COM",1396889
"25","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age60_69","AZ",1016016
"26","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age60_69","MOD",1016016
"27","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"28","2020-W53",514,0,0,0,61425,"AT",8901064,"AT","Age60_69","COM",1016016
"29","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age70_79","MOD",769199
"30","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"31","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age70_79","AZ",769199
"32","2020-W53",594,0,0,0,61425,"AT",8901064,"AT","Age70_79","COM",769199
"33","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age80+","AZ",474047
"34","2020-W53",1551,0,0,0,61425,"AT",8901064,"AT","Age80+","COM",474047
"35","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"36","2020-W53",0,0,0,0,0,"AT",8901064,"AT","Age80+","MOD",474047
